task,metric,value
sst2,accuracy,0.6283783783783784
qqp,accuracy,0.7051282051282052
qqp,f1,0.6349206349206349
mnli,accuracy,0.6611570247933884
mnli-mm,accuracy,0.5308641975308642
qnli,accuracy,0.5135135135135135
rte,accuracy,0.48148148148148145
mnli_combined,accuracy,0.5960106111621264
